section,modality,replicate,ari,status,condition,method_label
151507,gene_expr_mech,0,0.5149552520586979,ok,correct_graph,"Gene
expression"
151507,gene_expr_mech,1,0.408455868126024,ok,correct_graph,"Gene
expression"
151507,gene_expr_mech,2,0.4993456018335755,ok,correct_graph,"Gene
expression"
151507,gene_expr_mech,3,0.4981305487971421,ok,correct_graph,"Gene
expression"
151507,gene_expr_mech,4,0.4888623634913748,ok,correct_graph,"Gene
expression"
151507,gene_expr_mech,0,0.3947543784444198,ok,feature_only,"Gene
expression"
151507,gene_expr_mech,1,0.3884051461680202,ok,feature_only,"Gene
expression"
151507,gene_expr_mech,2,0.3957868207758551,ok,feature_only,"Gene
expression"
151507,gene_expr_mech,3,0.2386374824737461,ok,feature_only,"Gene
expression"
151507,gene_expr_mech,4,0.4173135506487763,ok,feature_only,"Gene
expression"
151507,gene_expr_mech,0,0.0040071737580485,ok,graph_permutation,"Gene
expression"
151507,gene_expr_mech,1,0.0523992095964263,ok,graph_permutation,"Gene
expression"
151507,gene_expr_mech,2,0.0071846895145139,ok,graph_permutation,"Gene
expression"
151507,gene_expr_mech,3,0.0050619297771688,ok,graph_permutation,"Gene
expression"
151507,gene_expr_mech,4,0.0051661514980541,ok,graph_permutation,"Gene
expression"
151507,gene_expr_mech,0,0.0657604488662779,ok,graph_topology_only,"Gene
expression"
151507,gene_expr_mech,1,0.0868668656566105,ok,graph_topology_only,"Gene
expression"
151507,gene_expr_mech,2,0.0637920521021328,ok,graph_topology_only,"Gene
expression"
151507,gene_expr_mech,3,0.0990046381703173,ok,graph_topology_only,"Gene
expression"
151507,gene_expr_mech,4,0.0945900541493038,ok,graph_topology_only,"Gene
expression"
151507,expr_panel_projected_bin250kb,0,0.4980331886112253,ok,correct_graph,"Projected
expression"
151507,expr_panel_projected_bin250kb,1,0.5399346286452346,ok,correct_graph,"Projected
expression"
151507,expr_panel_projected_bin250kb,2,0.5502511322607053,ok,correct_graph,"Projected
expression"
